Year ,Month,State,County,Unemployment_Rate
2020,June,CA,Bethel Island CDP,10.3
2020,June,CA,Beverly Hills city,16.2
2020,June,CA,Big Bear City CDP,8.6
2020,June,CA,Big Bear Lake city,5.5
2020,June,CA,Biggs city,7.2
2020,June,CA,Big Pine CDP,14.2
2020,June,CA,Big River CDP,20.3
2020,June,CA,Biola CDP,36.8
2020,June,CA,Bishop city,9.5
2020,June,CA,Bloomington CDP,15.2
2020,June,CA,Blue Lake city,11.4
2020,June,CA,Bluewater CDP,22.9
2020,June,CA,Blythe city,15.3
2020,June,CA,Bodega Bay CDP,8.4
2020,June,CA,Bodfish CDP,18.6
2020,June,CA,Bonadelle Ranchos Madera Ranchos CDP,9.9
2020,June,CA,Bonita CDP,20.1
2020,June,CA,Bootjack CDP,20.4
2020,June,CA,Boron CDP,11.6
2020,June,CA,Boronda CDP,54.2
2020,June,CA,Bostonia CDP,24.2
2020,June,CA,Boulder Creek CDP,15.9
2020,June,CA,Boyes Hot Springs CDP,7.8
2020,June,CA,Bradbury city,6.8
2020,June,CA,Bradley CDP,0
2020,June,CA,Brawley city,21
2020,June,CA,Brea city,13.6
2020,June,CA,Brentwood city,13.6
2020,June,CA,Bret Harte CDP,28
2020,June,CA,Brisbane city,11.3
2020,June,CA,Broadmoor CDP,19.9
2020,June,CA,Bucks Lake CDP,0
2020,June,CA,Buellton city,5.1
2020,June,CA,Buena Park city,16.6
2020,June,CA,Burbank city,22.7
2020,June,CA,Burlingame city,9.2
2020,June,CA,Burney CDP,11.9
2020,June,CA,Buttonwillow CDP,18.2
2020,June,CA,Byron CDP,23.3
2020,June,CA,Bystrom CDP,15.7
2020,June,CA,Cabazon CDP,12.5
2020,June,CA,Calabasas city,12.8
2020,June,CA,Calexico city,40
2020,June,CA,California City city,31.7
2020,June,CA,Calimesa city,14.6
2020,June,CA,Calipatria city,33.4
2020,June,CA,Calistoga city,16.4
2020,June,CA,Calwa CDP,25
2020,June,CA,Camarillo city,11.4
2020,June,CA,Cambria CDP,14.5
2020,June,CA,Cameron Park CDP,11.9
2020,June,CA,Campbell city,9.6
2020,June,CA,Cantua Creek CDP,13.4
2020,June,CA,Canyondam CDP,80
2020,June,CA,Canyon Lake city,7.8
2020,June,CA,Capitola city,4
2020,June,CA,Carlsbad city,12.7
2020,June,CA,Carmel by the Sea city,0.4
2020,June,CA,Carmel Valley Village CDP,20.8
2020,June,CA,Carmichael CDP,13.5
2020,June,CA,Carpinteria city,9.8
2020,June,CA,Carson city,19.9
2020,June,CA,Cartago CDP,0
2020,June,CA,Caruthers CDP,14.1
2020,June,CA,Casa Conejo CDP,19.1
2020,June,CA,Casa de Oro Mount Helix CDP,13.1
2020,June,CA,Castro Valley CDP,12.4
2020,June,CA,Castroville CDP,25.1
2020,June,CA,Cathedral City city,18.1
2020,June,CA,Cayucos CDP,11.3
2020,June,CA,Ceres city,15.8
2020,June,CA,Cerritos city,17.1
2020,June,CA,Challenge Brownsville CDP,0
2020,June,CA,Channel Islands Beach CDP,30.3
2020,June,CA,Charter Oak CDP,22.9
2020,June,CA,Cherryland CDP,22.5
2020,June,CA,Cherry Valley CDP,9.2
2020,June,CA,Chester CDP,11.5
2020,June,CA,Chico city,12.6
2020,June,CA,Chilcoot Vinton CDP,10
2020,June,CA,China Lake Acres CDP,15.1
2020,June,CA,Chinese Camp CDP,0
2020,June,CA,Chino city,14.3
2020,June,CA,Chino Hills city,12
2020,June,CA,Chowchilla city,12.4
2020,June,CA,Chualar CDP,16
2020,June,CA,Chula Vista city,15.7
2020,June,CA,Citrus CDP,14.3
2020,June,CA,Citrus Heights city,13
2020,June,CA,Claremont city,13.5
2020,June,CA,Clayton city,6.5
2020,June,CA,Clearlake city,25
2020,June,CA,Clearlake Oaks CDP,19.3
2020,June,CA,Clio CDP,0
2020,June,CA,Cloverdale city,6.8
2020,June,CA,Clovis city,12.1
2020,June,CA,Clyde CDP,10.2
2020,June,CA,Coachella city,20.5
2020,June,CA,Coalinga city,15.3
2020,June,CA,Cobb CDP,9.8
2020,June,CA,Colfax city,16.5
2020,June,CA,Colton city,14.1
2020,June,CA,Columbia CDP,29.3
2020,June,CA,Colusa city,15.4
2020,June,CA,Commerce city,22.8
2020,June,CA,Compton city,22.2
2020,June,CA,Concord city,13.4
2020,June,CA,Concow CDP,24.1
2020,June,CA,Copperopolis CDP,11.7
2020,June,CA,Corcoran city,23.6
2020,June,CA,Corning city,13.6
2020,June,CA,Corona city,12.7
2020,June,CA,Coronado city,10.5
2020,June,CA,Corralitos CDP,11.8
2020,June,CA,Corte Madera town,12.8
2020,June,CA,Costa Mesa city,12.4
2020,June,CA,Cotati city,12.3
2020,June,CA,Coto de Caza CDP,13
2020,June,CA,Cottonwood CDP,11
2020,June,CA,Country Club CDP,24.9
2020,June,CA,Covelo CDP,14.9
2020,June,CA,Covina city,19.7
2020,June,CA,Crescent City city,10.4
2020,June,CA,Crescent Mills CDP,0
2020,June,CA,Crestline CDP,8.9
2020,June,CA,C Road CDP,19
2020,June,CA,Crockett CDP,18.6
2020,June,CA,Cromberg CDP,0
2020,June,CA,Cudahy city,18.5
2020,June,CA,Culver City city,17.3
2020,June,CA,Cupertino city,7.3
2020,June,CA,Cutler CDP,18.1
2020,June,CA,Cypress city,14.7
2020,June,CA,Daly City city,16.1
2020,June,CA,Dana Point city,12
2020,June,CA,Danville town,10
2020,June,CA,Darwin CDP,0
2020,June,CA,Davis city,8.1
2020,June,CA,Day Valley CDP,12.5
2020,June,CA,Deer Park CDP,19.8
2020,June,CA,Del Aire CDP,16.3
2020,June,CA,Delano city,31.6
2020,June,CA,Delhi CDP,14.8
2020,June,CA,Delleker CDP,0
2020,June,CA,Del Mar city,10.3
2020,June,CA,Del Monte Forest CDP,16.4
2020,June,CA,Del Rey CDP,18.1
2020,June,CA,Del Rey Oaks city,15.6
2020,June,CA,Denair CDP,13.9
2020,June,CA,Derby Acres CDP,2.9
2020,June,CA,Desert Hot Springs city,22.6
2020,June,CA,Desert View Highlands CDP,28.5
2020,June,CA,Diablo CDP,0
2020,June,CA,Diamond Bar city,17.4
2020,June,CA,Diamond Springs CDP,16.2
2020,June,CA,Dinuba city,22.5
2020,June,CA,Discovery Bay CDP,12.5
2020,June,CA,Dixon city,13.6
2020,June,CA,Dixon Lane Meadow Creek CDP,12.2
2020,June,CA,Dollar Point CDP,7.6
2020,June,CA,Dorrington CDP,13.5
2020,June,CA,Dos Palos city,12
2020,June,CA,Downey city,19.4
2020,June,CA,Duarte city,22.9
2020,June,CA,Dublin city,10.9
2020,June,CA,Ducor CDP,15.8
2020,June,CA,Dunsmuir city,7.8
2020,June,CA,Durham CDP,5.9
2020,June,CA,Dustin Acres CDP,8.2
2020,June,CA,Earlimart CDP,25
2020,June,CA,East Foothills CDP,6.7
2020,June,CA,East Hemet CDP,21.7
2020,June,CA,East Los Angeles CDP,29.3
2020,June,CA,East Oakdale CDP,12.8
2020,June,CA,Easton CDP,15.3
2020,June,CA,East Orosi CDP,44.4
2020,June,CA,East Palo Alto city,12.2
2020,June,CA,East Pasadena CDP,8.9
2020,June,CA,East Porterville CDP,35.8
2020,June,CA,East Quincy CDP,2
2020,June,CA,East Richmond Heights CDP,6.5
2020,June,CA,East San Gabriel CDP,8.3
2020,June,CA,East Shore CDP,80.4
2020,June,CA,East Sonora CDP,0
2020,June,CA,Eastvale City city,13.5
2020,June,CA,Edwards AFB CDP,19.5
2020,June,CA,El Cajon city,17.8
2020,June,CA,El Centro city,24.5
2020,June,CA,El Cerrito city,13
2020,June,CA,El Cerrito CDP,9.4
2020,June,CA,El Dorado Hills CDP,10.4
2020,June,CA,El Granada CDP,10.1
2020,June,CA,Elk Grove CDP,12.7
2020,June,CA,Elkhorn CDP,21
2020,June,CA,Elmira CDP,11.7
2020,June,CA,El Monte city,21.7
2020,June,CA,El Paso de Robles (Paso Robles) city,11.5
2020,June,CA,El Rio CDP,20.8
2020,June,CA,El Segundo city,22.4
2020,June,CA,El Sobrante CDP,16.1
2020,June,CA,El Verano CDP,5.4
2020,June,CA,Emeryville city,9.8
2020,June,CA,Empire CDP,10.4
2020,June,CA,Encinitas city,11
2020,June,CA,Escalon city,8.8
2020,June,CA,Escondido city,13.1
2020,June,CA,Esparto CDP,10.1
2020,June,CA,Eureka city,11.8
2020,June,CA,Exeter city,16.9
2020,June,CA,Fairfax town,9.2
2020,June,CA,Fairfield city,13.4
2020,June,CA,Fair Oaks CDP,9.4
2020,June,CA,Fairview CDP,6.8
2020,June,CA,Fallbrook CDP,13
2020,June,CA,Fall River Mills CDP,0
2020,June,CA,Farmersville city,20.3
2020,June,CA,Farmington CDP,0
2020,June,CA,Fellows CDP,17.6
2020,June,CA,Felton CDP,17.5
2020,June,CA,Ferndale city,4.7
2020,June,CA,Fetters Hot Springs Agua Caliente CDP,5.4
2020,June,CA,Fillmore city,11
2020,June,CA,Firebaugh city,23.1
2020,June,CA,Florence Graham CDP,25
2020,June,CA,Florin CDP,21.7
2020,June,CA,Folsom city,9.6
2020,June,CA,Fontana city,13.9
2020,June,CA,Foothill Farms CDP,14.2
2020,June,CA,Ford City CDP,19.3
2020,June,CA,Foresthill CDP,10
2020,June,CA,Forest Meadows CDP,19
2020,June,CA,Forestville CDP,13.3
2020,June,CA,Fort Bragg city,12.1
2020,June,CA,Fortuna city,10.2
2020,June,CA,Foster City city,7.6
2020,June,CA,Fountain Valley city,14.8
2020,June,CA,Fowler city,11.1
2020,June,CA,Frazier Park CDP,18.7
2020,June,CA,Freedom CDP,18.9
2020,June,CA,Fremont city,10.5
2020,June,CA,French Camp CDP,16.9
2020,June,CA,Fresno city,14.5
2020,June,CA,Friant CDP,23.6
2020,June,CA,Fullerton city,15
2020,June,CA,Furnace Creek CDP,1.9
2020,June,CA,Galt city,12.1
2020,June,CA,Gardena city,21.4
2020,June,CA,Garden Acres CDP,20.9
2020,June,CA,Garden Grove city,18.7
2020,June,CA,Georgetown CDP,25.6
2020,June,CA,Gilroy city,12.6
2020,June,CA,Glendale city,21.1
2020,June,CA,Glendora city,16.2
2020,June,CA,Glen Ellen CDP,0
2020,June,CA,Golden Hills CDP,8.8
2020,June,CA,Gold River CDP,14.8
2020,June,CA,Goleta City,10.2
2020,June,CA,Gonzales city,3
2020,June,CA,Goshen CDP,17.4
2020,June,CA,Graeagle CDP,12.3
2020,June,CA,Grand Terrace city,13.8
2020,June,CA,Granite Bay CDP,11.8
2020,June,CA,Grass Valley city,16
2020,June,CA,Graton CDP,20.9
2020,June,CA,Greenfield city,12.4
2020,June,CA,Greenhorn CDP,20.8
2020,June,CA,Green Valley CDP,0
2020,June,CA,Greenville CDP,27.6
2020,June,CA,Gridley city,13.6
2020,June,CA,Grover Beach city,14.2
2020,June,CA,Guadalupe city,9.7
2020,June,CA,Guerneville CDP,12.4
2020,June,CA,Gustine city,16.2
2020,June,CA,Hacienda Heights CDP,16
2020,June,CA,Half Moon Bay city,8.5
2020,June,CA,Hamilton Branch CDP,23
2020,June,CA,Hamilton City CDP,13.2
2020,June,CA,Hanford city,13.4
2020,June,CA,Hawaiian Gardens city,20.5
2020,June,CA,Hawthorne city,22.8
2020,June,CA,Hayfork CDP,2.6
2020,June,CA,Hayward city,15.8
2020,June,CA,Healdsburg city,10.6
2020,June,CA,Heber CDP,28.2
2020,June,CA,Hemet city,17.7
2020,June,CA,Hercules city,13.5
2020,June,CA,Hermosa Beach city,10.2
2020,June,CA,Hesperia city,15.3
2020,June,CA,Hidden Hills city,16.4
2020,June,CA,Hidden Valley Lake CDP,4.7
2020,June,CA,Highgrove CDP,21.5
2020,June,CA,Highland city,14.4
2020,June,CA,Hillsborough town,11.2
2020,June,CA,Hilmar Irwin CDP,5.5
2020,June,CA,Hollister city,14.9
2020,June,CA,Holtville city,29.7
2020,June,CA,Home Garden CDP,22.5
2020,June,CA,Home Gardens CDP,12.7
2020,June,CA,Homeland CDP,15.8
2020,June,CA,Hughson city,11.6
2020,June,CA,Huntington Beach city,13.3
2020,June,CA,Huntington Park city,17.5
2020,June,CA,Huron city,20.5
2020,June,CA,Hydesville CDP,1.6
2020,June,CA,Idyllwild Pine Cove CDP,9.1
2020,June,CA,Imperial city,24.4
2020,June,CA,Imperial Beach city,18
2020,June,CA,Independence CDP,6.9
2020,June,CA,Indian Falls CDP,0
2020,June,CA,Indian Wells city,12.4
2020,June,CA,Indio city,17.8
2020,June,CA,Industry city,21.3
2020,June,CA,Inglewood city,24.2
2020,June,CA,Interlaken CDP,13.9
2020,June,CA,Inverness CDP,4.4
2020,June,CA,Inyokern CDP,0
2020,June,CA,Ione city,12.2
2020,June,CA,Iron Horse CDP,0
2020,June,CA,Irvine city,11.3
2020,June,CA,Irwindale city,27.1
2020,June,CA,Isla Vista CDP,24
2020,June,CA,Isleton city,12.9
2020,June,CA,Ivanhoe CDP,18.9
2020,June,CA,Jackson city,10.6
2020,June,CA,Jamestown CDP,22.1
2020,June,CA,Johannesburg CDP,0
2020,June,CA,Johnsville CDP,0
2020,June,CA,Joshua Tree CDP,21.1
2020,June,CA,Jurupa Valley city,12.9
2020,June,CA,Keddie CDP,62.5
2020,June,CA,Keeler CDP,0
2020,June,CA,Keene CDP,18.5
2020,June,CA,Kelseyville CDP,9.7
2020,June,CA,Kennedy CDP,24
2020,June,CA,Kensington CDP,8.6
2020,June,CA,Kerman city,12.5
2020,June,CA,Kernville CDP,0
2020,June,CA,Kettleman City CDP,20.4
2020,June,CA,Keyes CDP,15.5
2020,June,CA,King City city,8.2
2020,June,CA,Kings Beach CDP,4.3
2020,June,CA,Kingsburg city,10.2
2020,June,CA,Kirkwood CDP,9.2
2020,June,CA,Klamath CDP,19.6
2020,June,CA,Knightsen CDP,7.7
2020,June,CA,La Canada Flintridge city,9.9
2020,June,CA,La Crescenta Montrose CDP,14.6
2020,June,CA,Ladera Heights CDP,23.2
2020,June,CA,Lafayette city,8.5
2020,June,CA,Laguna Beach city,11
2020,June,CA,Laguna Hills city,11.5
2020,June,CA,Laguna Niguel city,11.9
2020,June,CA,Laguna Woods city,9.4
2020,June,CA,La Habra city,13.9
2020,June,CA,La Habra Heights city,16.4
2020,June,CA,Lake Almanor Country Club CDP,0
2020,June,CA,Lake Almanor Peninsula CDP,0
2020,June,CA,Lake Almanor West CDP,36.7
2020,June,CA,Lake Arrowhead CDP,14.5
2020,June,CA,Lake Elsinore city,14.9
2020,June,CA,Lake Forest city,10.7
2020,June,CA,Lake Isabella CDP,23.4
2020,June,CA,Lakeland Village CDP,21.4
2020,June,CA,Lake Los Angeles CDP,32.7
2020,June,CA,Lake Nacimiento CDP,9.9
2020,June,CA,Lake of the Pines CDP,18.4
2020,June,CA,Lake of the Woods CDP,17.2
2020,June,CA,Lakeport city,8
2020,June,CA,Lakeside CDP,17.7
2020,June,CA,Lakeview CDP,15.7
2020,June,CA,Lake Wildwood CDP,3.4
2020,June,CA,Lakewood city,19
2020,June,CA,La Mesa city,14.2
2020,June,CA,La Mirada city,18.8
2020,June,CA,Lamont CDP,16.1
2020,June,CA,Lanare CDP,0
2020,June,CA,Lancaster city,19.9
2020,June,CA,La Palma city,13.4
2020,June,CA,La Porte CDP,0
2020,June,CA,La Puente city,19.8
2020,June,CA,La Quinta city,16.3
2020,June,CA,La Riviera CDP,11.8
2020,June,CA,Larkspur city,8
2020,June,CA,Las Flores CDP,4.7
2020,June,CA,Las Lomas CDP,17.6
2020,June,CA,Lathrop city,12
2020,June,CA,Laton CDP,17.1
2020,June,CA,La Verne city,16
2020,June,CA,Lawndale city,23
2020,June,CA,Laytonville CDP,27.6
2020,June,CA,Lebec CDP,28.1
2020,June,CA,Le Grand CDP,20.1
2020,June,CA,Lemon Cove CDP,5.8
2020,June,CA,Lemon Grove city,17
2020,June,CA,Lemoore city,12.6
2020,June,CA,Lemoore Station CDP,11.1
2020,June,CA,Lennox CDP,20.3
2020,June,CA,Lenwood CDP,3.9
2020,June,CA,Lewiston CDP,9.4
2020,June,CA,Lincoln city,11.4
2020,June,CA,Lincoln Village CDP,14.3
2020,June,CA,Linda CDP,19.2
2020,June,CA,Linden CDP,6.4
2020,June,CA,Lindsay city,23.1
2020,June,CA,Little Grass Valley CDP,0
2020,June,CA,Littlerock CDP,35.5
2020,June,CA,Live Oak CDP,9
2020,June,CA,Live Oak city,13.2
2020,June,CA,Livermore city,11.2
2020,June,CA,Livingston city,8.1
2020,June,CA,Lockeford CDP,17.1
2020,June,CA,Lodi city,13.3
2020,June,CA,Loma Linda city,9.2
2020,June,CA,Loma Rica CDP,5.1
2020,June,CA,Lomita city,17.8
2020,June,CA,Lompoc city,15
2020,June,CA,London CDP,24.3
2020,June,CA,Lone Pine CDP,11.8
2020,June,CA,Long Beach city,19.6
2020,June,CA,Loomis town,13.1
2020,June,CA,Los Alamitos city,14.2
2020,June,CA,Los Alamos CDP,11.8
2020,June,CA,Los Altos city,5.9
2020,June,CA,Los Angeles city,20
2020,June,CA,Los Banos city,20
2020,June,CA,Los Gatos town,8.6
2020,June,CA,Los Molinos CDP,11.6
2020,June,CA,Lost Hills CDP,6.7
2020,June,CA,Lower Lake CDP,12.9
2020,June,CA,Loyalton city,11.7
2020,June,CA,Lucerne CDP,8
2020,June,CA,Lynwood city,20.8
2020,June,CA,McCloud CDP,19.9
2020,June,CA,McFarland city,21.6
2020,June,CA,McKinleyville CDP,8.7
2020,June,CA,McKittrick CDP,0
2020,June,CA,Madera city,13.5
2020,June,CA,Madera Acres CDP,10
2020,June,CA,Magalia CDP,9
2020,June,CA,Malibu city,13
2020,June,CA,Mammoth Lakes town,2.7
2020,June,CA,Manhattan Beach city,11.2
2020,June,CA,Manteca city,15
2020,June,CA,Manton CDP,11.2
2020,June,CA,March AFB CDP,4.6
2020,June,CA,Maricopa city,23
2020,June,CA,Marina city,17.5
2020,June,CA,Marina del Rey CDP,12.7
2020,June,CA,Mariposa CDP,8
2020,June,CA,Markleeville CDP,0
2020,June,CA,Martinez city,11.9
2020,June,CA,Marysville city,13
2020,June,CA,Mayflower Village CDP,13.5
2020,June,CA,Maywood city,16.8
2020,June,CA,Meadow Valley CDP,38.2
2020,June,CA,Meadow Vista CDP,7.4
2020,June,CA,Mecca CDP,15.9
2020,June,CA,Meiners Oaks CDP,9.3
2020,June,CA,Mendocino CDP,0
2020,June,CA,Mendota city,30.6
2020,June,CA,Menifee City,15.3
2020,June,CA,Menlo Park city,6
2020,June,CA,Mentone CDP,12
2020,June,CA,Merced city,15.7
2020,June,CA,Mesa CDP,11.7
2020,June,CA,Mesa Vista CDP,41.1
2020,June,CA,Mettler CDP,31.6
2020,June,CA,Middletown CDP,17.8
2020,June,CA,Millbrae city,10.6
2020,June,CA,Mill Valley city,6.7
2020,June,CA,Milpitas city,12.2
2020,June,CA,Mineral CDP,19.4
2020,June,CA,Mira Monte CDP,14.7
2020,June,CA,Mission Canyon CDP,3.3
2020,June,CA,Mission Hills CDP,20.4
2020,June,CA,Mission Viejo city,12.3
2020,June,CA,Mi Wuk Village CDP,27.7
2020,June,CA,Modesto city,15.6
2020,June,CA,Mohawk Vista CDP,0
2020,June,CA,Mojave CDP,35.1
2020,June,CA,Mokelumne Hill CDP,27.4
2020,June,CA,Mono Vista CDP,2.1
2020,June,CA,Monrovia city,16.7
2020,June,CA,Montclair city,13.6
2020,June,CA,Montebello city,20.8
2020,June,CA,Montecito CDP,16.7
2020,June,CA,Monterey city,15.9
2020,June,CA,Monterey Park city,25.2
2020,June,CA,Monte Rio CDP,38.1
2020,June,CA,Moorpark city,11.7
2020,June,CA,Morada CDP,0
2020,June,CA,Moraga town,8.6
2020,June,CA,Moreno Valley city,14.9
2020,June,CA,Morgan Hill city,11.1
2020,June,CA,Morongo Valley CDP,12.8
2020,June,CA,Morro Bay city,17.3
2020,June,CA,Moss Landing CDP,0
2020,June,CA,Mountain Mesa CDP,15.7
2020,June,CA,Mountain Ranch CDP,18.4
2020,June,CA,Mountain View CDP,24.2
2020,June,CA,Mountain View city,5.9
2020,June,CA,Mountain View Acres CDP,21.5
2020,June,CA,Mount Shasta city,3.3
2020,June,CA,Murphys CDP,11.9
2020,June,CA,Murrieta city,14
2020,June,CA,Muscoy CDP,26.5
2020,June,CA,Napa city,13.4
2020,June,CA,National City city,18.4
2020,June,CA,Needles city,9.8
2020,June,CA,Nevada City city,11.1
2020,June,CA,Newark city,12.8
2020,June,CA,Newman city,19.1
2020,June,CA,Newport Beach city,10.4
2020,June,CA,Nice CDP,9.2
2020,June,CA,Nipomo CDP,16.2
2020,June,CA,Norco city,12.3
2020,June,CA,North Auburn CDP,9.2
2020,June,CA,North Edwards CDP,25.2
2020,June,CA,North El Monte CDP,10.8
2020,June,CA,North Fair Oaks CDP,8
2020,June,CA,North Highlands CDP,11.5
2020,June,CA,North Lakeport CDP,5.6
2020,June,CA,Norwalk city,20.4
2020,June,CA,Novato city,10.5
2020,June,CA,Nuevo CDP,14.1
2020,June,CA,Oakdale city,18.2
2020,June,CA,Oakhurst CDP,13
2020,June,CA,Oakland city,15.7
2020,June,CA,Oakley city,14.6
2020,June,CA,Oak Park CDP,14.6
2020,June,CA,Oak View CDP,13
2020,June,CA,Occidental CDP,0
2020,June,CA,Oceano CDP,14.9
2020,June,CA,Oceanside city,14.9
2020,June,CA,Oildale CDP,24.5
2020,June,CA,Ojai city,9.9
2020,June,CA,Olancha CDP,17.5
2020,June,CA,Olivehurst CDP,18.6
