Month,County,Year ,Unemployment_Rate,State
June,Bethel Island CDP,2020,10.3,CA
June,Beverly Hills city,2020,16.2,CA
June,Big Bear City CDP,2020,8.6,CA
June,Big Bear Lake city,2020,5.5,CA
June,Biggs city,2020,7.2,CA
June,Big Pine CDP,2020,14.2,CA
June,Big River CDP,2020,20.3,CA
June,Biola CDP,2020,36.8,CA
June,Bishop city,2020,9.5,CA
June,Bloomington CDP,2020,15.2,CA
June,Blue Lake city,2020,11.4,CA
June,Bluewater CDP,2020,22.9,CA
June,Blythe city,2020,15.3,CA
June,Bodega Bay CDP,2020,8.4,CA
June,Bodfish CDP,2020,18.6,CA
June,Bonadelle Ranchos Madera Ranchos CDP,2020,9.9,CA
June,Bonita CDP,2020,20.1,CA
June,Bootjack CDP,2020,20.4,CA
June,Boron CDP,2020,11.6,CA
June,Boronda CDP,2020,54.2,CA
June,Bostonia CDP,2020,24.2,CA
June,Boulder Creek CDP,2020,15.9,CA
June,Boyes Hot Springs CDP,2020,7.8,CA
June,Bradbury city,2020,6.8,CA
June,Bradley CDP,2020,0,CA
June,Brawley city,2020,21,CA
June,Brea city,2020,13.6,CA
June,Brentwood city,2020,13.6,CA
June,Bret Harte CDP,2020,28,CA
June,Brisbane city,2020,11.3,CA
June,Broadmoor CDP,2020,19.9,CA
June,Bucks Lake CDP,2020,0,CA
June,Buellton city,2020,5.1,CA
June,Buena Park city,2020,16.6,CA
June,Burbank city,2020,22.7,CA
June,Burlingame city,2020,9.2,CA
June,Burney CDP,2020,11.9,CA
June,Buttonwillow CDP,2020,18.2,CA
June,Byron CDP,2020,23.3,CA
June,Bystrom CDP,2020,15.7,CA
June,Cabazon CDP,2020,12.5,CA
June,Calabasas city,2020,12.8,CA
June,Calexico city,2020,40,CA
June,California City city,2020,31.7,CA
June,Calimesa city,2020,14.6,CA
June,Calipatria city,2020,33.4,CA
June,Calistoga city,2020,16.4,CA
June,Calwa CDP,2020,25,CA
June,Camarillo city,2020,11.4,CA
June,Cambria CDP,2020,14.5,CA
June,Cameron Park CDP,2020,11.9,CA
June,Campbell city,2020,9.6,CA
June,Cantua Creek CDP,2020,13.4,CA
June,Canyondam CDP,2020,80,CA
June,Canyon Lake city,2020,7.8,CA
June,Capitola city,2020,4,CA
June,Carlsbad city,2020,12.7,CA
June,Carmel by the Sea city,2020,0.4,CA
June,Carmel Valley Village CDP,2020,20.8,CA
June,Carmichael CDP,2020,13.5,CA
June,Carpinteria city,2020,9.8,CA
June,Carson city,2020,19.9,CA
June,Cartago CDP,2020,0,CA
June,Caruthers CDP,2020,14.1,CA
June,Casa Conejo CDP,2020,19.1,CA
June,Casa de Oro Mount Helix CDP,2020,13.1,CA
June,Castro Valley CDP,2020,12.4,CA
June,Castroville CDP,2020,25.1,CA
June,Cathedral City city,2020,18.1,CA
June,Cayucos CDP,2020,11.3,CA
June,Ceres city,2020,15.8,CA
June,Cerritos city,2020,17.1,CA
June,Challenge Brownsville CDP,2020,0,CA
June,Channel Islands Beach CDP,2020,30.3,CA
June,Charter Oak CDP,2020,22.9,CA
June,Cherryland CDP,2020,22.5,CA
June,Cherry Valley CDP,2020,9.2,CA
June,Chester CDP,2020,11.5,CA
June,Chico city,2020,12.6,CA
June,Chilcoot Vinton CDP,2020,10,CA
June,China Lake Acres CDP,2020,15.1,CA
June,Chinese Camp CDP,2020,0,CA
June,Chino city,2020,14.3,CA
June,Chino Hills city,2020,12,CA
June,Chowchilla city,2020,12.4,CA
June,Chualar CDP,2020,16,CA
June,Chula Vista city,2020,15.7,CA
June,Citrus CDP,2020,14.3,CA
June,Citrus Heights city,2020,13,CA
June,Claremont city,2020,13.5,CA
June,Clayton city,2020,6.5,CA
June,Clearlake city,2020,25,CA
June,Clearlake Oaks CDP,2020,19.3,CA
June,Clio CDP,2020,0,CA
June,Cloverdale city,2020,6.8,CA
